anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity_rank,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year,weighted_avg,popularity_score,normalized_weight,normalized_popularity,normalized_fav,final_score
4537,Yagami-kun no Katei no Jijou,,八神くんの家庭の事情,"Yagami&#039;s Family Affairs, Yagami-kun&#039;s Family Affairs",https://myanimelist.cdn-dena.com/images/anime/11/8713.jpg,OVA,Manga,3,Finished Airing,False,"May 25, 1990","{'from': '1990-05-25', 'to': '1990-05-25'}",30 min. per ep.,PG-13 - Teens 13 or older,6.35,348,6199.0,8527,876,5,,,,"{'Adaptation': [{'mal_id': 19329, 'type': 'manga', 'url': 'https://myanimelist.net/manga/19329/Yagami-kun_no_Katei_no_Jijou', 'title': 'Yagami-kun no Katei no Jijou'}]}",Kitty Films,,Production I.G,Comedy,[],"['""Only YOU no ME no YOU (オンリイYOUのMEのYOU)"" by Chieko Honda (eps 1-3)']",30.0,1990.0,6.495912546096555,297,0.8637933489669427,0.9519145932592201,0.3410449506525095,0.7117284546499618
4874,Pokemon: Pikachu no Fuyuyasumi,Pokemon: Pikachu&#039;s Winter Vacation,ポケットモンスター ピカチュウのふゆやすみ,Pocket Monters: Pikachu no Fuyuyasumi,https://myanimelist.cdn-dena.com/images/anime/12/26372.jpg,OVA,Game,2,Finished Airing,False,"Dec 22, 1998","{'from': '1998-12-22', 'to': '1998-12-22'}",9 min. per ep.,PG - Children,6.64,5050,5032.0,3738,9627,6,,,,"{'Parent story': [{'mal_id': 527, 'type': 'anime', 'url': 'https://myanimelist.net/anime/527/Pokemon', 'title': 'Pokemon'}], 'Sequel': [{'mal_id': 10916, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10916/Pokemon__Pikachu_no_Fuyuyasumi_2000', 'title': 'Pokemon: Pikachu no Fuyuyasumi (2000)'}]}",,4Kids Entertainment,OLM,"Adventure, Comedy, Fantasy, Kids",[],[],9.0,1998.0,6.647061906922575,2618,0.8043770801745131,0.9187400741132875,0.38091585200430333,0.6943308920763943
24021,Sei Shoujo The Animation,,聖娼女 THE ANIMATION,,https://myanimelist.cdn-dena.com/images/anime/9/63419.jpg,OVA,Visual novel,1,Finished Airing,False,"Jul 25, 2014","{'from': '2014-07-25', 'to': '2014-07-25'}",30 min.,Rx - Hentai,6.85,1016,,5915,3062,15,,,,"{'Adaptation': [{'mal_id': 68321, 'type': 'manga', 'url': 'https://myanimelist.net/manga/68321/Sei_Shoujo__Seido_Ikusei_Gakuen', 'title': 'Sei Shoujo: Seido Ikusei Gakuen'}]}",Pink Pineapple,,Office Takeout,Hentai,[],"['""Cold Butterfly"" by Duca']",30.0,2014.0,6.863771344669584,1233,0.8855048550733733,0.872242809246515,0.32136208428832036,0.6861062170407088
1457,Key the Metal Idol,Key the Metal Idol,KEY THE METAL IDOL,,https://myanimelist.cdn-dena.com/images/anime/5/11220.jpg,OVA,Original,15,Finished Airing,False,"Dec 16, 1994 to Jun 18, 1997","{'from': '1994-12-16', 'to': '1997-06-18'}",34 min. per ep.,PG-13 - Teens 13 or older,7.05,2970,3372.0,3568,10721,59,Key the Metal Idol won the Packaged Work Award at the 1996 Animation Kobe Awards.,,,[],"Viz Media, Pony Canyon, Fuji TV, Fuji Creative",Discotek Media,Studio Pierrot,"Action, Sci-Fi, Music, Drama, Mecha","['""In the Night"" by Sario Kijima']","['#1: ""Watashi ga Soba ni Iru"" by Sario Kijima (eps 1-13)', '#2: ""Passenger"" by Tamiya Terashima (ep 14)', '#3: ""Galaxy in my Hands"" by Junko Iwao (ep 15)']",34.0,1994.0,7.048491472524839,2784,0.8014891576398278,0.9468854773248633,0.3224472613312129,0.6833712257776483
1586,Aoi Umi no Tristia,,蒼い海のトリスティア,Tristia of the Deep Blue Sea,https://myanimelist.cdn-dena.com/images/anime/2/18760.jpg,OVA,Visual novel,2,Finished Airing,False,"Apr 23, 2004 to Jul 23, 2004","{'from': '2004-04-23', 'to': '2004-07-23'}",27 min. per ep.,PG - Children,5.81,1221,7768.0,6326,2569,0,,,,"{'Adaptation': [{'mal_id': 86155, 'type': 'manga', 'url': 'https://myanimelist.net/manga/86155/Aoi_Umi_no_Tristia__Hontou_no_Takaramono', 'title': 'Aoi Umi no Tristia: Hontou no Takaramono'}]}",,,ufotable,"Adventure, Mecha","['""Do your dream"" by Sakura Nogawa']","['""A Happy Life"" by Yukihide Takekawa']",27.0,2004.0,5.900362468320406,1067,0.8985465080694355,0.8762131639315335,0.19790448571027647,0.6509791720447111
1919,Urusei Yatsura OVA,,うる星やつら,,https://myanimelist.cdn-dena.com/images/anime/1424/92240.jpg,OVA,Manga,11,Finished Airing,False,"Sep 24, 1985 to Jun 21, 1991","{'from': '1985-09-24', 'to': '1991-06-21'}",32 min. per ep.,PG-13 - Teens 13 or older,7.52,1199,1596.0,5827,3178,4,,,,"{'Adaptation': [{'mal_id': 304, 'type': 'manga', 'url': 'https://myanimelist.net/manga/304/Urusei_Yatsura', 'title': 'Urusei Yatsura'}], 'Prequel': [{'mal_id': 1293, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1293/Urusei_Yatsura', 'title': 'Urusei Yatsura'}], 'Other': [{'mal_id': 6567, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6567/Urusei_Yatsura__The_Shougaibutsu_Suieitaikai', 'title': 'Urusei Yatsura: The Shougaibutsu Suieitaikai'}]}",,AnimEigo,"Madhouse, Studio Deen, Magic Bus","Sci-Fi, Adventure, Comedy","['#1: ""Tonogata Gomen Asobase (殿方ごめん遊ばせ)"" by Shoko Minami (eps 1, 11)', '#2: ""Sweet Dream"" by Kanako Narikiyo (ep 2)', '#3: ""Monotone no Natsu (モノトーンの夏)"" by Kayoko Matsunaga (ep 3)', '#4: ""Urusei Yatsura STARS ON (うる星やつらSTARS ON)"" by Satomi (eps 4-7)', '#5: ""Lum no Love Song (ラムのラブソング)"" by Yuko Matsutani (ep 8)', '#6: ""Rock the Planet"" by Steffanie (ep 9)', '#7: ""Pajama Jama Da! (パジャマじゃまだ!)"" by Kanako Narikiyo (ep 10)']","['#1: ""Good Luck ~Towa Yori Ai wo Komete (Good Luck 〜永遠より愛をこめて)"" by Shoko Minami (eps 1, 9, 11)', '#2: ""Romance ga Itai (ロマンスが痛い)"" by Kanako Narikiyo (ep 2)', '#3: ""SORRY..."" by Kanako Narikiyo (ep 3)', '#4: ""Urusei Yatsura STARS ON (うる星やつらSTARS ON)"" by Satomi (eps 4-7)', '#5: ""Uchuu wa Taihen da! (宇宙は大ヘンだ!)"" by Yuko Matsutani (ep 8, 10)']",32.0,1985.0,7.48025313368072,1283,0.7826485755570729,0.9313569790012353,0.1883811216614435,0.6277876031525181
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,,黒獣 [クロイヌ] ～気高き聖女は白濁に染まる～,,https://myanimelist.cdn-dena.com/images/anime/7/33059.jpg,OVA,Visual novel,4,Finished Airing,False,"Jan 27, 2012 to Jan 31, 2014","{'from': '2012-01-27', 'to': '2014-01-31'}",30 min. per ep.,Rx - Hentai,7.56,6748,,3031,15385,437,,,,"{'Adaptation': [{'mal_id': 71769, 'type': 'manga', 'url': 'https://myanimelist.net/manga/71769/Kuroinu__Kedakaki_Seijo_wa_Hakudaku_ni_Somaru', 'title': 'Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru'}, {'mal_id': 109842, 'type': 'manga', 'url': 'https://myanimelist.net/manga/109842/Kuroinu__Kedakaki_Seijo_wa_Hakudaku_ni_Somaru_The_Comic', 'title': 'Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru The Comic'}]}",,,Majin,"Action, Fantasy, Hentai",[],[],30.0,2012.0,7.551876288062392,3288,0.8898107960005681,0.8380977589553557,0.16642499649188458,0.6251300719777768
4918,xxxHOLiC Shunmuki,,xxxHOLiC 春夢記,xxxHOLiC OVA,https://myanimelist.cdn-dena.com/images/anime/12/25079.jpg,OVA,Manga,2,Finished Airing,False,"Feb 17, 2009 to Jun 23, 2009","{'from': '2009-02-17', 'to': '2009-06-23'}",26 min. per ep.,PG-13 - Teens 13 or older,8.15,23974,378.0,1592,47208,94,,,,"{'Adaptation': [{'mal_id': 10, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10/xxxHOLiC', 'title': 'xxxHOLiC'}], 'Prequel': [{'mal_id': 3091, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3091/xxxHOLiC_Kei', 'title': 'xxxHOLiC Kei'}], 'Side story': [{'mal_id': 4938, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4938/Tsubasa__Shunraiki', 'title': 'Tsubasa: Shunraiki'}], 'Sequel': [{'mal_id': 6864, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6864/xxxHOLiC_Rou', 'title': 'xxxHOLiC Rou'}]}",Kodansha,,Production I.G,"Mystery, Comedy, Psychological, Supernatural, Drama","['""sofa"" by Suga Shikao']","['""Cherish"" by AZU']",26.0,2009.0,8.145238382514384,5232,0.8666606532801537,0.8555673195694371,0.16880116001683898,0.6240396138459219
254,Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,ジャングルはいつもハレのちグゥ　デラックス,"Jungle wa Itsumo Haré nochi Guu Deluxe, Jungle wa Itsumo Hale Nochi Guu Deluxe, Hare+Guu Deluxe",https://myanimelist.cdn-dena.com/images/anime/3/10306.jpg,OVA,Manga,6,Finished Airing,False,"Aug 25, 2002 to Jan 25, 2003","{'from': '2002-08-25', 'to': '2003-01-25'}",26 min. per ep.,PG-13 - Teens 13 or older,7.91,5527,679.0,3729,9670,25,,,,"{'Prequel': [{'mal_id': 253, 'type': 'anime', 'url': 'https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu', 'title': 'Jungle wa Itsumo Hare nochi Guu'}], 'Sequel': [{'mal_id': 255, 'type': 'anime', 'url': 'https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final', 'title': 'Jungle wa Itsumo Hare nochi Guu Final'}]}",Bandai Visual,Funimation,Shin-Ei Animation,"Comedy, Slice of Life","['""Love Tropicana Deluxe (LOVE☆トロピカ~ナ デラックス)"" by Sister MAYO']","['""Fun Fun & Shout (ファンファン&シャウト)"" by Sister MAYO']",26.0,2002.0,7.8938935170874815,2627,0.8608761694588745,0.8710958178930651,0.10812479535993265,0.607231938294918
1640,Angel&#039;s Feather,Angel&#039;s Feather,エンジェルズフェザー Angel&#039;s Feather,,https://myanimelist.cdn-dena.com/images/anime/1/1640.jpg,OVA,Visual novel,2,Finished Airing,False,"Apr 28, 2006 to May 26, 2006","{'from': '2006-04-28', 'to': '2006-05-26'}",30 min. per ep.,PG-13 - Teens 13 or older,5.58,8348,8228.0,2980,15962,30,,,,[],,Media Blasters,Venet,"Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai","['""ROCK STAR"" by Kakihara Tetsuya & Hatano Wataru']","['""LAST SONG"" by Ishikawa Hideo & Suzuki Chihiro']",30.0,2006.0,5.596852369868757,3341,0.8839750420330337,0.7800423504499736,0.11751718976565789,0.5879064121420596
15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,,キラ☆キラ 5th Anniversary Live Anime KICK START GENERATION,,https://myanimelist.cdn-dena.com/images/anime/13/41237.jpg,OVA,Visual novel,1,Finished Airing,False,"Mar 27, 2013","{'from': '2013-03-27', 'to': '2013-03-27'}",26 min.,G - All Ages,6.57,579,5335.0,7323,1599,3,,,,[],"Lantis, Media Factory",,Silver Link.,Music,[],[],26.0,2013.0,6.633871606261056,674,0.888348278710958,0.7784542085759661,0.07632723700827916,0.5752328090174172
13807,Corpse Party: Missing Footage,,コープスパーティー Missing Footage,Corpse Party OVA,https://myanimelist.cdn-dena.com/images/anime/5/38331.jpg,OVA,Visual novel,1,Finished Airing,False,"Aug 2, 2012","{'from': '2012-08-02', 'to': '2012-08-02'}",11 min.,R+ - Mild Nudity,6.32,42813,6303.0,1077,77108,139,,,,"{'Sequel': [{'mal_id': 15037, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15037/Corpse_Party__Tortured_Souls_-_Bougyakusareta_Tamashii_no_Jukyou', 'title': 'Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou'}]}",,,Asread,"Horror, School",[],[],11.0,2012.0,6.321593196016389,6298,0.8492610320568872,0.8361566966649021,0.0573085738341363,0.5750996798434556
32518,Shoujo kara Shoujo e...,,少女から娼女へ...,,https://myanimelist.cdn-dena.com/images/anime/11/78059.jpg,OVA,Manga,2,Finished Airing,False,"Feb 12, 2016 to Mar 11, 2016","{'from': '2016-02-12', 'to': '2016-03-11'}",16 min. per ep.,Rx - Hentai,7.04,1091,,5651,3451,14,,,,"{'Adaptation': [{'mal_id': 84277, 'type': 'manga', 'url': 'https://myanimelist.net/manga/84277/Shoujo_kara_Shoujo_e', 'title': 'Shoujo kara Shoujo e...'}]}",EDGE,,BreakBottle,Hentai,[],[],16.0,2016.0,7.036951150840686,1387,0.884031246002706,0.8190400564672666,0.039234763085270595,0.5749610016332303
15819,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,,金田一少年の事件簿 黒魔術殺人事件編,"Kindaichi Shounen no Jikenbo (2012), Kindaichi Case Files: Black Magic Murder Case",https://myanimelist.cdn-dena.com/images/anime/3/45070.jpg,OVA,Manga,2,Finished Airing,False,"Dec 17, 2012 to Mar 15, 2013","{'from': '2012-12-17', 'to': '2013-03-15'}",27 min. per ep.,R - 17+ (violence & profanity),7.1,234,3211.0,8196,1041,4,,,,"{'Adaptation': [{'mal_id': 21307, 'type': 'manga', 'url': 'https://myanimelist.net/manga/21307/Kindaichi_Shounen_no_Jikenbo_-_Shin_Series', 'title': 'Kindaichi Shounen no Jikenbo - Shin Series'}], 'Parent story': [{'mal_id': 2076, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2076/Kindaichi_Shounen_no_Jikenbo', 'title': 'Kindaichi Shounen no Jikenbo'}]}",,,Toei Animation,"Mystery, Shounen",[],"['""ROAD"" by Aya Ikeda']",27.0,2012.0,7.0711641336863975,385,0.8709914442137587,0.8245985530262926,0.043463211562748495,0.573887558904924
30347,Nanatsu no Taizai OVA,,七つの大罪,"Nanatsu no Taizai: Ban no Bangai-hen, The Seven Deadly Sins: Ban&#039;s Side Story",https://myanimelist.cdn-dena.com/images/anime/6/76269.jpg,OVA,Manga,2,Finished Airing,False,"Jun 17, 2015 to Aug 12, 2015","{'from': '2015-06-17', 'to': '2015-08-12'}",24 min. per ep.,PG-13 - Teens 13 or older,7.77,34252,949.0,1245,65495,94,,,,"{'Parent story': [{'mal_id': 23755, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23755/Nanatsu_no_Taizai', 'title': 'Nanatsu no Taizai'}]}",Aniplex,,A-1 Pictures,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen","['""Seven Deadly Sins"" by MAN WITH A MISSION (ep 2)']","['#1: ""Season"" by Alisa Takigawa (ep 1)', '#2: ""7 -seven-"" by FLOW x GRANRODEO (ep 2)']",24.0,2015.0,7.767769236744622,5897,0.8984745760689721,0.7857773072172226,0.05221946770195052,0.573035545826088
