anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity_rank,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year,weighted_avg,popularity_score,normalized_weight,normalized_popularity,normalized_fav,final_score
31780,Kimi no Kokoro wa Kagayaiteru kai?,,君のこころは輝いてるかい？,"Love Live! Sunshine!!, Love Live! School Idol Project",https://myanimelist.cdn-dena.com/images/anime/4/76534.jpg,Music,Music,1,Finished Airing,False,"Oct 7, 2015","{'from': '2015-10-07', 'to': '2015-10-07'}",6 min.,PG-13 - Teens 13 or older,7.41,2684,1977.0,4739,5400,10,,,,"{'Parent story': [{'mal_id': 32526, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32526/Love_Live_Sunshine', 'title': 'Love Live! Sunshine!!'}], 'Other': [{'mal_id': 32953, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32953/Koi_ni_Naritai_Aquarium', 'title': 'Koi ni Naritai Aquarium'}, {'mal_id': 35006, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35006/Happy_Party_Train', 'title': 'Happy Party Train'}]}","Lantis, Magic Capsule",,Sunrise,Music,[],[],6.0,2015.0,7.395405467187951,1881,0.7840687444144083,0.816216693135698,0.04636325366013378,0.5433940680993793
4890,Peut-etre Toi,Maybe You,Peut-etre toi,Mylene Farmer Peut-etre Toi,https://myanimelist.cdn-dena.com/images/anime/7/51697.jpg,Music,Original,1,Finished Airing,False,"Jul 15, 2006","{'from': '2006-07-15', 'to': '2006-07-15'}",4 min.,PG-13 - Teens 13 or older,6.44,1096,5848.0,7148,1745,3,,,,[],Geneon Universal Entertainment,,Production I.G,Music,[],[],4.0,2006.0,6.487131120945867,741,0.7507444889424757,0.7884242103405682,0.0306001216146686,0.5180237108962452
34085,Sakura Nagashi,,桜流し,,https://myanimelist.cdn-dena.com/images/anime/9/82037.jpg,Music,Original,1,Finished Airing,False,"Sep 18, 2016","{'from': '2016-09-18', 'to': '2016-09-18'}",4 min.,PG-13 - Teens 13 or older,7.16,2045,2978.0,5404,3837,13,,,,"{'Other': [{'mal_id': 3785, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3785/Evangelion__30_You_Can_Not_Redo', 'title': 'Evangelion: 3.0 You Can (Not) Redo'}]}",EMI,,Khara,"Action, Sci-Fi, Music, Drama, Mecha",[],[],4.0,2016.0,7.1527127369003525,1514,0.7348150337261785,0.7994529733545086,0.021984190093081998,0.5135632250673439
9509,Yami no Purple Eye,Purple Eyes in the Dark,闇のパープル・アイ,,https://myanimelist.cdn-dena.com/images/anime/8/26389.jpg,Music,Manga,1,Finished Airing,False,1987,"{'from': None, 'to': None}",31 min.,PG-13 - Teens 13 or older,5.0,274,9046.0,8760,772,1,,,,"{'Adaptation': [{'mal_id': 15449, 'type': 'manga', 'url': 'https://myanimelist.net/manga/15449/Yami_no_Purple_Eyes', 'title': 'Yami no Purple Eyes'}]}",Youmex,,Toei Animation,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo",[],[],31.0,1987.0,5.5357455097627195,235,0.8815457457692883,0.6041997529557085,0.0030310117404930073,0.4912962484536117
22417,Quantum Leap,,Quantum Leap,m-flo - Quantum Leap,https://myanimelist.cdn-dena.com/images/anime/9/58651.jpg,Music,Music,1,Finished Airing,False,"Jun 28, 2000","{'from': '2000-06-28', 'to': '2000-06-28'}",3 min.,PG-13 - Teens 13 or older,4.77,148,9227.0,10644,273,0,,,,[],Avex Entertainment,,Production I.G,"Action, Music",[],[],3.0,2000.0,5.6706807284324885,13,0.8273524363989195,0.5968766543144521,0.0033116609757238413,0.4710884480574015
1926,Jishu Seisaku Movie Binchou-tan,,自主制作ムービー びんちょうタン,"Bincho-Tan OVA, Binchou-tan Jishu Seisaku Movie: Aozora ni Wasure Mono",https://myanimelist.cdn-dena.com/images/anime/4/3505.jpg,Music,Manga,1,Finished Airing,False,"Aug 14, 2005","{'from': '2005-08-14', 'to': '2005-08-14'}",4 min.,G - All Ages,6.18,1023,6790.0,6916,1948,0,,,,"{'Other': [{'mal_id': 750, 'type': 'anime', 'url': 'https://myanimelist.net/anime/750/Binchou-tan', 'title': 'Binchou-tan'}]}",TBS,,Ishikawa Pro,"Slice of Life, Music",[],"['""Aozora ni Wasuremono (青空にわすれもの)"" by LOOPCUBE feat. Nari Amatoya']",4.0,2005.0,6.2533471243555265,820,0.7897417287393054,0.6235221457561321,0.0017400252584311709,0.4669512869187767
3642,Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,,シャイナ・ダルク ～黒き月の王と蒼碧の月の姫君～,"Shina Dark - Kuroki Tsuki no O to Soheki no Tsuki no Himegimi, Shina Dark: King of Dark Moon and Blue Moon&#039;s Princess",https://myanimelist.cdn-dena.com/images/anime/11/6288.jpg,Music,Manga,4,Finished Airing,False,"Mar 21, 2008","{'from': '2008-03-21', 'to': '2008-03-21'}",2 min. per ep.,R+ - Mild Nudity,6.15,1319,6940.0,5226,4181,7,,,,"{'Adaptation': [{'mal_id': 4780, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4780/Shina_Dark__Kuroki_Tsuki_no_Ou_to_Souheki_no_Tsuki_no_Himegimi', 'title': 'Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi'}]}","Genco, Lantis",,Shaft,"Harem, Music, Ecchi, Fantasy, Seinen","['""Moon Legend""  by Yuuki Aira']",[],2.0,2008.0,6.210161254863466,1594,0.7925945968398291,0.60428798305982,0.0032368211796622855,0.4620394023561728
34412,Hashiri Hajimeta bakari no Kimi ni,,走り始めたばかりのキミに,BanG Dream!,https://myanimelist.cdn-dena.com/images/anime/13/82908.jpg,Music,Manga,1,Finished Airing,False,"Dec 7, 2016","{'from': '2016-12-07', 'to': '2016-12-07'}",1 min.,PG-13 - Teens 13 or older,6.44,327,5840.0,8325,971,1,,,,"{'Other': [{'mal_id': 32338, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32338/Yes_BanG_Dream', 'title': 'Yes! BanG_Dream!'}, {'mal_id': 34252, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34252/Star_Beat__Hoshi_no_Kodou', 'title': 'Star Beat!: Hoshi no Kodou'}], 'Parent story': [{'mal_id': 33573, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33573/BanG_Dream', 'title': 'BanG Dream!'}]}",Bushiroad,,"Xebec, Issen",Music,[],[],1.0,2016.0,6.572011289581399,349,0.6710876355415976,0.710428798305982,0.0047523270499087895,0.45746869109617117
33696,3D Onara Gorou ga Dance Dance Dance!!,,3Dおなら吾郎がDANCE DANCE DANCE！！,,https://myanimelist.cdn-dena.com/images/anime/12/81039.jpg,Music,Original,1,Finished Airing,False,"Apr 21, 2016","{'from': '2016-04-21', 'to': '2016-04-21'}",25 sec.,G - All Ages,3.51,806,9492.0,7841,1245,5,,,,"{'Parent story': [{'mal_id': 33274, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33274/Onara_Gorou', 'title': 'Onara Gorou'}]}",,,ILCA,"Comedy, Music",[],[],0.4166666666666667,2016.0,3.8956167998358247,505,0.7072384442164357,0.6318157755426151,0.006997520931755461,0.4441970744279661
30103,Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara,,映画プリキュアオールスターズ 春のカーニバル♪ 「イマココカラ」,Precure All Stars Movie: Haru no Carnival♪ - Feature Dance Presentation,https://myanimelist.cdn-dena.com/images/anime/11/72109.jpg,Music,Original,1,Finished Airing,False,"Jan 31, 2015","{'from': '2015-01-31', 'to': '2015-01-31'}",3 min.,G - All Ages,6.63,320,5076.0,8603,841,2,,,,"{'Other': [{'mal_id': 28511, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28511/Precure_All_Stars_Movie__Haru_no_Carnival♪', 'title': 'Precure All Stars Movie: Haru no Carnival♪'}, {'mal_id': 36995, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36995/Precure_Super_Stars_Movie', 'title': 'Precure Super Stars! Movie'}]}",,,Toei Animation,"Music, Magic, Fantasy, Shoujo",[],[],3.0,2015.0,6.718973382502993,278,0.7794333054805769,0.513146285512617,0.003526825389400814,0.42771511740625623
