anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity_rank,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year,weighted_avg,popularity_score,normalized_weight,normalized_popularity,normalized_fav,final_score
2199,Chirin no Suzu,Ringing Bell,チリンの鈴,Bell of Chirin,https://myanimelist.cdn-dena.com/images/anime/11/80079.jpg,Movie,Picture book,1,Finished Airing,False,"Mar 11, 1978","{'from': '1978-03-11', 'to': '1978-03-11'}",46 min.,PG-13 - Teens 13 or older,7.17,2361,2916.0,4822,5161,21,,,,[],,Discotek Media,Sanrio,"Adventure, Drama, Fantasy",[],[],46.0,1978.0,7.163242105100063,1819,0.897101125440537,0.8914769719428269,0.652603021656766,0.8055897692832429
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Pokemon 4D: Pikachu&#039;s Ocean Adventure,ポケモン3Dアドベンチャー2 ピカチュウの海底大冒険,Pokemon 4D: Pikachu no Kaiyou Adventure,https://myanimelist.cdn-dena.com/images/anime/4/30543.jpg,Movie,Game,1,Finished Airing,False,"May 20, 2006","{'from': '2006-05-20', 'to': '2006-05-20'}",14 min.,PG - Children,7.13,2588,3092.0,4395,6463,13,,,,"{'Parent story': [{'mal_id': 1564, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation', 'title': 'Pokemon Advanced Generation'}], 'Prequel': [{'mal_id': 11019, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11019/Pokemon_3D_Adventure__Mew_wo_Sagase', 'title': 'Pokemon 3D Adventure: Mew wo Sagase!'}]}",,The Pokemon Company International,OLM,"Adventure, Comedy, Fantasy, Kids",[],"['""Big Meowth Day"" by Inuko Inuyama']",14.0,2006.0,7.1253009005399015,2100,0.9000007689458014,0.8819481206987825,0.19877449833949204,0.6536387180347452
28211,Harmony,Harmony,<harmony/> ハーモニー,Project Itoh,https://myanimelist.cdn-dena.com/images/anime/2/76993.jpg,Movie,Novel,1,Finished Airing,False,"Nov 13, 2015","{'from': '2015-11-13', 'to': '2015-11-13'}",1 hr. 59 min.,R+ - Mild Nudity,7.1,11216,3204.0,1850,37433,178,"Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy.",,,"{'Adaptation': [{'mal_id': 87122, 'type': 'manga', 'url': 'https://myanimelist.net/manga/87122/Harmony', 'title': 'Harmony'}]}","Aniplex, Dentsu, Fuji TV, Toho, Sony Music Entertainment, Fuji Pacific Music Publishing, Kyoraku Industrial Holdings, Kansai Telecasting, Beyond C.",Funimation,Studio 4°C,"Sci-Fi, Psychological",[],"['""Ghost of a smile"" by EGOIST']",119.0,2015.0,7.099148888357304,4781,0.8608865816451727,0.91309334745015,0.20349876046587775,0.6525679675551962
732,Vampire Hunter D,Vampire Hunter D,吸血鬼〈バンパイア〉ハンターD,,https://myanimelist.cdn-dena.com/images/anime/4/24228.jpg,Movie,Novel,1,Finished Airing,False,"Dec 21, 1985","{'from': '1985-12-21', 'to': '1985-12-21'}",1 hr. 20 min.,R+ - Mild Nudity,7.22,29500,2750.0,1536,49885,287,,,,"{'Adaptation': [{'mal_id': 1360, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1360/Vampire_Hunter_D', 'title': 'Vampire Hunter D'}, {'mal_id': 3988, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3988/Vampire_Hunter_D', 'title': 'Vampire Hunter D'}], 'Sequel': [{'mal_id': 543, 'type': 'anime', 'url': 'https://myanimelist.net/anime/543/Vampire_Hunter_D_2000', 'title': 'Vampire Hunter D (2000)'}]}","Ajia-Do, Trans Arts, Movic, Studio Kyuuma, Studio Core, CBS","Sentai Filmworks, Urban Vision",Production Reed,"Action, Sci-Fi, Horror, Supernatural, Vampire",[],"['""Your Song"" by TM NETWORK']",80.0,1985.0,7.219269216913894,5334,0.8029362429645637,0.9459149461796366,0.2214696664951588,0.6502058823609885
35472,Yuuki Yuuna wa Yuushabu Shozoku 2,,結城友奈は勇者部所属,"Yuuki Yuuna is a Hero Club Member, Washio Sumi wa Yuusha de Aru",https://myanimelist.cdn-dena.com/images/anime/8/85506.jpg,Movie,Manga,1,Finished Airing,False,"Apr 15, 2017","{'from': '2017-04-15', 'to': '2017-04-15'}",7 min.,PG-13 - Teens 13 or older,6.62,504,5141.0,6911,1958,1,,,,"{'Adaptation': [{'mal_id': 81721, 'type': 'manga', 'url': 'https://myanimelist.net/manga/81721/Yuuki_Yuuna_wa_Yuusha-bu_Shozoku', 'title': 'Yuuki Yuuna wa Yuusha-bu Shozoku'}], 'Other': [{'mal_id': 34375, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34375/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou_2_-_Tamashii', 'title': 'Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii'}], 'Prequel': [{'mal_id': 34394, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34394/Yuuki_Yuuna_wa_Yuushabu_Shozoku', 'title': 'Yuuki Yuuna wa Yuushabu Shozoku'}], 'Sequel': [{'mal_id': 35473, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35473/Yuuki_Yuuna_wa_Yuushabu_Shozoku_3', 'title': 'Yuuki Yuuna wa Yuushabu Shozoku 3'}]}",,,W-Toon Studio,"Slice of Life, Comedy, Magic, Fantasy",[],[],7.0,2017.0,6.683524537502081,822,0.794239967076507,0.9385918475383801,0.12283081528602835,0.612368667867302
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,機動戦士ZガンダムⅢ-星の鼓動は愛-,"Kidou Senshi Z Gundam III: Hoshi no Kodou wa Ai, Kido Senshi Z Gundam III - Hoshi no Kodo wa Ai",https://myanimelist.cdn-dena.com/images/anime/1/1969.jpg,Movie,Original,1,Finished Airing,False,"Mar 4, 2006","{'from': '2006-03-04', 'to': '2006-03-04'}",1 hr. 40 min.,PG-13 - Teens 13 or older,7.3,3174,2435.0,4302,6824,7,,,,"{'Alternative version': [{'mal_id': 85, 'type': 'anime', 'url': 'https://myanimelist.net/anime/85/Mobile_Suit_Zeta_Gundam', 'title': 'Mobile Suit Zeta Gundam'}], 'Prequel': [{'mal_id': 1968, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1968/Mobile_Suit_Zeta_Gundam__A_New_Translation_II_-_Lovers', 'title': 'Mobile Suit Zeta Gundam: A New Translation II - Lovers'}]}",Sotsu,"Nozomi Entertainment, Bandai Entertainment",Sunrise,"Military, Sci-Fi, Space, Drama, Mecha",[],"['""Dybbuk"" by Gackt']",100.0,2006.0,7.290949548152492,2169,0.8738615925520783,0.8140991706370214,0.148959259086019,0.6061836073507892
6922,Fate/stay night Movie: Unlimited Blade Works,Fate/stay night: Unlimited Blade Works,劇場版 Fate/stay night: UNLIMITED BLADE WORKS,"Gekijouban Fate/Stay Night: Unlimited Blade Works, Fate/stay night Movie, Fate/stay night UBW",https://myanimelist.cdn-dena.com/images/anime/9/80350.jpg,Movie,Visual novel,1,Finished Airing,False,"Jan 23, 2010","{'from': '2010-01-23', 'to': '2010-01-23'}",1 hr. 40 min.,PG-13 - Teens 13 or older,7.53,77292,1549.0,609,136486,732,,,,"{'Alternative version': [{'mal_id': 356, 'type': 'anime', 'url': 'https://myanimelist.net/anime/356/Fate_stay_night', 'title': 'Fate/stay night'}, {'mal_id': 22297, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works', 'title': 'Fate/stay night: Unlimited Blade Works'}, {'mal_id': 25537, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower', 'title': 'Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower'}], 'Prequel': [{'mal_id': 11741, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season', 'title': 'Fate/Zero 2nd Season'}]}","Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes, CREi",Sentai Filmworks,Studio Deen,"Action, Fantasy, Magic, Supernatural","['""Imitation"" by Tainaka Sachi']","['""Voice ~Tadori Tsuku Basho~"" by Tainaka Sachi']",100.0,2010.0,7.529319940312321,7528,0.8869486463197318,0.8751544026821952,0.06955423546470836,0.6044469038739897
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,,うる星やつら2 ビューティフル・ドリーマー,,https://myanimelist.cdn-dena.com/images/anime/3/78231.jpg,Movie,Manga,1,Finished Airing,False,"Feb 11, 1984","{'from': '1984-02-11', 'to': '1984-02-11'}",1 hr. 35 min.,PG-13 - Teens 13 or older,7.87,3574,769.0,4080,7811,116,,,,"{'Parent story': [{'mal_id': 1293, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1293/Urusei_Yatsura', 'title': 'Urusei Yatsura'}]}","Kitty Films, Studio Kyuuma","Central Park Media, Discotek Media",Studio Pierrot,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",[],"['""Ai wa Boomerang (愛はブーメラン)"" by Yuuko Matsutani']",95.0,1984.0,7.846420473775519,2336,0.8680848841693689,0.8304217398976531,0.12349501847607466,0.601260542039222
34430,Detective Conan Movie 21: The Crimson Love Letter,,劇場版『名探偵コナン から紅の恋歌』,Detective Conan Movie 21: Karakurenai no Love Letter,https://myanimelist.cdn-dena.com/images/anime/2/83919.jpg,Movie,Manga,1,Finished Airing,False,"Apr 15, 2017","{'from': '2017-04-15', 'to': '2017-04-15'}",1 hr. 51 min.,G - All Ages,7.89,3793,714.0,3781,9371,34,,,,"{'Parent story': [{'mal_id': 235, 'type': 'anime', 'url': 'https://myanimelist.net/anime/235/Detective_Conan', 'title': 'Detective Conan'}]}",,,TMS Entertainment,"Action, Mystery, Historical, Police, Drama, Romance",[],"['""Togetsugyou ~Kimi Omou~ (渡月橋 〜君 想ふ〜)"" by Mai Kuraki']",111.0,2017.0,7.867233193077641,2585,0.8782057320240442,0.7982177518969473,0.11746105991861173,0.591981899467069
15771,Saint☆Oniisan (Movie),Saint☆Young Men (Movie),聖☆おにいさん,"Saint☆Onii-san (Movie), Saint Onii-san (Movie)",https://myanimelist.cdn-dena.com/images/anime/7/48723.jpg,Movie,Manga,1,Finished Airing,False,"May 10, 2013","{'from': '2013-05-10', 'to': '2013-05-10'}",1 hr. 29 min.,PG-13 - Teens 13 or older,7.94,20831,634.0,1690,43396,230,,,,"{'Adaptation': [{'mal_id': 8947, 'type': 'manga', 'url': 'https://myanimelist.net/manga/8947/Saint☆Oniisan', 'title': 'Saint☆Oniisan'}], 'Other': [{'mal_id': 15775, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15775/Saint☆Oniisan', 'title': 'Saint☆Oniisan'}]}","Aniplex, Kodansha, Toho",,A-1 Pictures,"Comedy, Seinen, Slice of Life",[],"['""Gag (ギャグ)"" by Gen Hoshino']",89.0,2013.0,7.935526674341946,5044,0.8926054958645768,0.7646903123345686,0.11498199167407269,0.5848516739581621
